sentence,emotion,translation,article_id,pos_index
原告牛某1向本院提出诉讼请求：1．请求法院判令三被告立即共同连带归还原告借款本金3000000元，并按照年利率24％的标准支付原告自2013年6月10日起至三被告实际还清全部欠款之日的利息，该利息暂计至2017年11月9日为3230000元；2．请求法院判令三被告承担本案全部诉讼费用。,,,4,1
事实和理由：2011年11月2日，原告与被告冯某1、被告康某1签订了《借款协议书》，约定原告出借给被告冯某1、被告康某1人民币300万元，借款期限为12个月，自2011年11月2日至2012年10月31日。,,,4,2
双方约定按每月3％计算利息，被告按季度向原告支付利息。,,,4,3
上述合同签订后，原告依约向被告支付了全部款项，但被告一直未能按时支付利息，借款期限届满后也未能归还本金。,,,4,4
2014年2月10日，被告山西智伟基业房地产开发有限公司向原告出具《承诺书》，明确了其向原告借款的事实，并承诺于2014年3月、6月向原告支付利息，于2014年11月2日前向原告还清全部本息。,,,4,5
该承诺书出具后，原告与被告冯某1、被告康某1于2014年3月5日签订了《借款补充协议书》，约定将前述借款延期至2014年11月2日。,,,4,6
但借款期限届满后三被告仍未依约还款，经原告多次催要无果，故诉至法院，请求法院依法支持原告的诉讼请求。,,,4,7
被告山西智伟基业房地产开发有限公司、冯某1、康某1承认原告牛某1提出的全部诉讼请求。,,,4,8
"
",,,4,9
